client_id;sexe;type_conduite;formule;type_vehicule;usage_vehicule;Tranche d'age;Revenus_tranche;Enfants;Enfants accompagne;Tarif devis;Tranche d'age vehicule
19;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
20;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
21;M;z_Highly Rural/ Rural;dev_express;Minivan;Private;[25_40];[60k et +];Oui;Non;[0_300];[10 et +]
22;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[20k_40k];Oui;Oui;[300_600];Non renseigné
23;F;Highly Urban/ Urban;dev_premium;Van;Commercial;[25_40];Non renseigné;Non;Non;[300_600];[5_10]
24;F;Highly Urban/ Urban;dev_premium;Sports Car;Commercial;[60 et +];[40k_60k];Oui;Non;[300_600];[0_5]
25;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[0_25];[20k_40k];Non;Non;[0_300];[0_5]
26;M;z_Highly Rural/ Rural;dev_express;Minivan;Private;[60 et +];Non renseigné;Non;Non;[0_300];Non renseigné
27;F;z_Highly Rural/ Rural;dev_integral;Sports Car;Private;[25_40];[40k_60k];Non;Non;[0_300];[0_5]
28;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Non;Non;[0_300];Non renseigné
29;F;Highly Urban/ Urban;dev_vip;z_SUV;Private;[40_60];[40k_60k];Non;Non;[600 et +];[0_5]
30;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
31;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[20k_40k];Oui;Non;[0_300];[0_5]
32;M;z_Highly Rural/ Rural;dev_integral;Minivan;Commercial;[40_60];[20k_40k];Oui;Non;[300_600];[5_10]
33;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
34;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[0_25];[20k_40k];Non;Non;[300_600];[5_10]
35;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[40_60];[60k et +];Oui;Oui;[0_300];[10 et +]
36;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[20k_40k];Non;Non;[300_600];[5_10]
37;F;Highly Urban/ Urban;dev_express;Sports Car;Commercial;[60 et +];[20k_40k];Non;Non;[0_300];[10 et +]
38;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[60k et +];Oui;Non;[0_300];[10 et +]
39;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
40;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[25_40];[40k_60k];Non;Non;[300_600];[10 et +]
41;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[0_25];Non renseigné;Oui;Oui;[0_300];[10 et +]
42;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[5_10]
43;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[0_20k];Oui;Non;[0_300];[10 et +]
44;F;Highly Urban/ Urban;dev_premium;Pickup;Private;[60 et +];[40k_60k];Oui;Oui;[300_600];Non renseigné
45;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
46;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
47;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[0_5]
48;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
49;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
50;F;z_Highly Rural/ Rural;dev_integral;Van;Private;[40_60];[40k_60k];Oui;Oui;[0_300];[0_5]
51;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[25_40];[20k_40k];Non;Non;[300_600];[0_5]
52;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[40k_60k];Oui;Non;[0_300];[5_10]
53;M;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[60k et +];Non;Non;[0_300];[5_10]
54;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[40_60];[40k_60k];Non;Non;[0_300];[10 et +]
55;F;z_Highly Rural/ Rural;dev_express;Minivan;Commercial;[0_25];[60k et +];Non;Non;[0_300];[5_10]
56;M;Highly Urban/ Urban;dev_premium;Van;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
57;F;Highly Urban/ Urban;dev_integral;Van;Commercial;[40_60];[40k_60k];Oui;Non;[0_300];[5_10]
58;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[25_40];[60k et +];Non;Non;[0_300];[10 et +]
59;F;Highly Urban/ Urban;dev_express;Van;Private;[60 et +];[20k_40k];Oui;Oui;[0_300];[0_5]
60;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[25_40];[20k_40k];Oui;Oui;[0_300];[5_10]
61;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
62;F;Highly Urban/ Urban;dev_express;Pickup;Private;[40_60];[40k_60k];Non;Non;[0_300];[5_10]
63;F;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[60k et +];Oui;Non;[0_300];[5_10]
64;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[20k_40k];Oui;Non;[0_300];[0_5]
65;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[0_20k];Non;Non;[0_300];[5_10]
66;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[60k et +];Non;Non;[0_300];[0_5]
67;M;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
68;M;z_Highly Rural/ Rural;dev_express;Minivan;Private;[40_60];[0_20k];Non;Non;[0_300];[5_10]
69;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[20k_40k];Oui;Non;[0_300];[10 et +]
70;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[25_40];[60k et +];Non;Non;[300_600];[0_5]
71;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[60k et +];Non;Non;[300_600];[5_10]
72;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[25_40];[60k et +];Non;Non;[0_300];[10 et +]
73;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[60k et +];Non;Non;[0_300];[5_10]
74;F;z_Highly Rural/ Rural;dev_premium;Minivan;Private;[60 et +];[60k et +];Oui;Non;[300_600];[5_10]
75;M;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[40k_60k];Non;Non;[0_300];[5_10]
76;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[25_40];[60k et +];Non;Non;[300_600];[10 et +]
77;F;Highly Urban/ Urban;dev_express;Minivan;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[0_5]
78;M;Highly Urban/ Urban;dev_premium;Panel Truck;Commercial;[40_60];[40k_60k];Non;Non;[300_600];[10 et +]
79;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[40k_60k];Non;Non;[0_300];[5_10]
80;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[0_5]
81;M;z_Highly Rural/ Rural;dev_express;Sports Car;Private;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
82;M;z_Highly Rural/ Rural;dev_express;Van;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
83;F;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[60 et +];[20k_40k];Oui;Non;[0_300];[0_5]
84;M;z_Highly Rural/ Rural;dev_express;Sports Car;Private;[60 et +];[0_20k];Non;Non;[0_300];Non renseigné
85;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[40k_60k];Non;Non;[0_300];[5_10]
86;M;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[40k_60k];Non;Non;[0_300];[5_10]
87;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[40_60];Non renseigné;Non;Non;[300_600];[10 et +]
88;F;z_Highly Rural/ Rural;dev_express;z_SUV;Private;[25_40];[20k_40k];Oui;Oui;[0_300];[0_5]
89;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[40_60];[40k_60k];Non;Non;[300_600];[10 et +]
90;M;z_Highly Rural/ Rural;dev_integral;Sports Car;Private;[60 et +];[40k_60k];Oui;Non;[0_300];[0_5]
91;M;Highly Urban/ Urban;dev_express;Minivan;Commercial;[60 et +];[40k_60k];Non;Non;[0_300];[0_5]
92;F;Highly Urban/ Urban;dev_premium;Minivan;Private;[0_25];[20k_40k];Oui;Non;[300_600];[0_5]
93;F;Highly Urban/ Urban;dev_premium;Sports Car;Private;[0_25];[60k et +];Non;Non;[300_600];[0_5]
94;M;Highly Urban/ Urban;dev_express;Van;Private;[60 et +];[40k_60k];Non;Non;[0_300];[0_5]
95;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
96;F;z_Highly Rural/ Rural;dev_integral;Pickup;Commercial;[40_60];[20k_40k];Non;Non;[300_600];[5_10]
97;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[20k_40k];Non;Non;[0_300];[0_5]
98;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[25_40];[40k_60k];Oui;Oui;[0_300];[5_10]
99;M;Highly Urban/ Urban;dev_integral;Van;Private;[40_60];[60k et +];Oui;Non;[300_600];[5_10]
100;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[0_25];[60k et +];Non;Non;[300_600];[0_5]
101;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[0_20k];Oui;Non;[300_600];[10 et +]
102;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[25_40];[40k_60k];Oui;Non;[300_600];[0_5]
103;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
104;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
105;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
106;M;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[25_40];Non renseigné;Oui;Non;[0_300];[10 et +]
107;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[0_20k];Oui;Oui;[300_600];[5_10]
108;M;z_Highly Rural/ Rural;dev_integral;Minivan;Commercial;[40_60];[60k et +];Oui;Non;[300_600];[10 et +]
109;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Oui;Non;[0_300];[10 et +]
110;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];[5_10]
111;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[40_60];[60k et +];Non;Non;[0_300];[5_10]
112;M;Highly Urban/ Urban;dev_express;Minivan;Commercial;[40_60];[60k et +];Oui;Oui;[0_300];[10 et +]
113;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[5_10]
114;F;Highly Urban/ Urban;dev_express;Minivan;Commercial;[60 et +];[40k_60k];Oui;Non;[0_300];[5_10]
115;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
116;F;z_Highly Rural/ Rural;dev_premium;Minivan;Private;[40_60];[20k_40k];Oui;Oui;[300_600];[0_5]
117;F;z_Highly Rural/ Rural;dev_express;Sports Car;Private;[60 et +];[40k_60k];Oui;Oui;[0_300];[10 et +]
118;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[0_20k];Oui;Oui;[300_600];[5_10]
119;M;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[0_25];[40k_60k];Oui;Oui;[300_600];[0_5]
120;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
121;M;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];[10 et +]
122;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Oui;Non;[0_300];[10 et +]
123;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
124;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
125;F;Highly Urban/ Urban;dev_integral;Van;Private;[25_40];[20k_40k];Oui;Non;[300_600];[5_10]
126;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[25_40];[60k et +];Non;Non;[0_300];[5_10]
127;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[0_300];[0_5]
128;M;z_Highly Rural/ Rural;dev_express;Minivan;Commercial;[0_25];[0_20k];Non;Non;[0_300];[0_5]
129;M;Highly Urban/ Urban;dev_premium;Sports Car;Commercial;[0_25];[40k_60k];Non;Non;[300_600];Non renseigné
130;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
131;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[0_20k];Oui;Non;[0_300];[10 et +]
132;F;Highly Urban/ Urban;dev_vip;Minivan;Private;[60 et +];[20k_40k];Oui;Non;[600 et +];[5_10]
133;M;z_Highly Rural/ Rural;dev_express;z_SUV;Private;[0_25];[0_20k];Oui;Non;[0_300];[0_5]
134;M;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[20k_40k];Non;Non;[0_300];[5_10]
135;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[40k_60k];Oui;Oui;[0_300];[5_10]
136;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Oui;Non;[300_600];[10 et +]
137;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[0_25];[40k_60k];Non;Non;[300_600];[10 et +]
138;M;Highly Urban/ Urban;dev_express;Van;Commercial;[25_40];[60k et +];Oui;Oui;[0_300];[5_10]
139;M;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[40_60];[40k_60k];Oui;Non;[0_300];[0_5]
140;F;Highly Urban/ Urban;dev_premium;Sports Car;Private;[40_60];Non renseigné;Oui;Non;[300_600];[5_10]
141;M;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[40_60];[60k et +];Non;Non;[300_600];[5_10]
142;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[60k et +];Non;Non;[0_300];[5_10]
143;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[0_25];[60k et +];Oui;Non;[300_600];[10 et +]
144;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[40k_60k];Non;Non;[300_600];[10 et +]
145;M;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[60 et +];[0_20k];Oui;Non;[0_300];Non renseigné
146;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[20k_40k];Non;Non;[0_300];[10 et +]
147;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
148;M;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[40_60];[20k_40k];Oui;Oui;[0_300];[10 et +]
149;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
150;F;z_Highly Rural/ Rural;dev_express;Minivan;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
151;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[40k_60k];Non;Non;[300_600];[10 et +]
152;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
153;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];Non renseigné;Oui;Non;[0_300];[0_5]
154;M;Highly Urban/ Urban;dev_express;Minivan;Private;[25_40];[20k_40k];Non;Non;[0_300];[0_5]
155;F;z_Highly Rural/ Rural;dev_integral;Pickup;Commercial;[60 et +];[20k_40k];Oui;Non;[0_300];[5_10]
156;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[60k et +];Oui;Oui;[300_600];[10 et +]
157;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[0_20k];Oui;Non;[0_300];[0_5]
158;M;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
159;M;z_Highly Rural/ Rural;dev_integral;Minivan;Commercial;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
160;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[0_5]
161;M;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[60k et +];Oui;Oui;[0_300];[5_10]
162;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[25_40];[60k et +];Non;Non;[300_600];[10 et +]
163;F;z_Highly Rural/ Rural;dev_integral;Minivan;Private;[40_60];[60k et +];Oui;Oui;[300_600];[10 et +]
164;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[40k_60k];Oui;Non;[300_600];[10 et +]
165;F;z_Highly Rural/ Rural;dev_express;Sports Car;Private;[40_60];[0_20k];Non;Non;[0_300];[5_10]
166;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[0_20k];Oui;Oui;[0_300];[0_5]
167;F;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[60k et +];Oui;Non;[0_300];[10 et +]
168;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[25_40];[40k_60k];Oui;Non;[0_300];[0_5]
169;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[0_300];Non renseigné
170;F;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[60 et +];[20k_40k];Non;Non;[300_600];[10 et +]
171;M;Highly Urban/ Urban;dev_express;Pickup;Private;[40_60];[60k et +];Oui;Non;[0_300];[10 et +]
172;F;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[25_40];[0_20k];Non;Non;[300_600];[0_5]
173;M;z_Highly Rural/ Rural;dev_integral;Minivan;Commercial;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
174;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[60k et +];Oui;Non;[300_600];[10 et +]
175;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[0_20k];Non;Non;[0_300];[0_5]
176;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[0_300];Non renseigné
177;F;Highly Urban/ Urban;dev_express;Van;Commercial;[60 et +];[0_20k];Non;Non;[0_300];[10 et +]
178;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[25_40];Non renseigné;Non;Non;[0_300];[10 et +]
179;M;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[0_5]
180;F;Highly Urban/ Urban;dev_premium;Van;Commercial;[40_60];[40k_60k];Oui;Non;[300_600];[5_10]
181;F;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[0_300];Non renseigné
182;F;z_Highly Rural/ Rural;dev_express;Van;Commercial;[25_40];[20k_40k];Oui;Oui;[0_300];[5_10]
183;M;z_Highly Rural/ Rural;dev_integral;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
184;F;Highly Urban/ Urban;dev_premium;Van;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
185;F;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
186;M;Highly Urban/ Urban;dev_premium;z_SUV;Commercial;[25_40];[40k_60k];Oui;Oui;[300_600];[5_10]
187;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[20k_40k];Non;Non;[300_600];[0_5]
188;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[0_20k];Oui;Non;[300_600];[5_10]
189;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];[0_5]
190;F;Highly Urban/ Urban;dev_vip;Minivan;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
191;M;Highly Urban/ Urban;dev_express;Van;Commercial;[40_60];[60k et +];Non;Non;[0_300];Non renseigné
192;M;Highly Urban/ Urban;dev_premium;Sports Car;Private;[0_25];[20k_40k];Non;Non;[300_600];[0_5]
193;F;z_Highly Rural/ Rural;dev_integral;Sports Car;Private;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
194;F;Highly Urban/ Urban;dev_premium;Panel Truck;Commercial;[25_40];[40k_60k];Non;Non;[300_600];[0_5]
195;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
196;F;Highly Urban/ Urban;dev_premium;Sports Car;Private;[60 et +];[40k_60k];Oui;Non;[300_600];[5_10]
197;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[40k_60k];Oui;Non;[0_300];[10 et +]
198;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
199;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[20k_40k];Oui;Non;[300_600];[0_5]
200;F;z_Highly Rural/ Rural;dev_express;Minivan;Commercial;[60 et +];[20k_40k];Non;Non;[0_300];Non renseigné
201;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[0_25];[40k_60k];Non;Non;[0_300];[5_10]
202;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
203;M;Highly Urban/ Urban;dev_premium;Minivan;Commercial;[60 et +];[40k_60k];Oui;Oui;[300_600];[0_5]
204;F;z_Highly Rural/ Rural;dev_premium;z_SUV;Commercial;[60 et +];[40k_60k];Non;Non;[300_600];[10 et +]
205;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[20k_40k];Oui;Non;[0_300];[5_10]
206;M;Highly Urban/ Urban;dev_express;Minivan;Commercial;[40_60];[40k_60k];Non;Non;[0_300];[0_5]
207;M;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[60 et +];[60k et +];Non;Non;[300_600];Non renseigné
208;M;z_Highly Rural/ Rural;dev_express;Minivan;Private;[60 et +];[20k_40k];Non;Non;[0_300];[10 et +]
209;M;Highly Urban/ Urban;dev_premium;Panel Truck;Commercial;[60 et +];[20k_40k];Oui;Oui;[300_600];[5_10]
210;F;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[40_60];[20k_40k];Oui;Non;[300_600];[5_10]
211;F;z_Highly Rural/ Rural;dev_integral;Minivan;Private;[0_25];[40k_60k];Oui;Oui;[0_300];[5_10]
212;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
213;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[40k_60k];Non;Non;[0_300];Non renseigné
214;F;Highly Urban/ Urban;dev_express;Van;Commercial;[40_60];[40k_60k];Non;Non;[0_300];[5_10]
215;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[40k_60k];Oui;Non;[0_300];Non renseigné
216;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
217;F;Highly Urban/ Urban;dev_express;Pickup;Private;[40_60];[20k_40k];Oui;Non;[0_300];[5_10]
218;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
219;M;Highly Urban/ Urban;dev_premium;Sports Car;Private;[60 et +];[20k_40k];Non;Non;[300_600];[0_5]
220;M;z_Highly Rural/ Rural;dev_integral;Minivan;Private;[60 et +];[20k_40k];Oui;Oui;[300_600];[0_5]
221;M;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[60k et +];Oui;Non;[300_600];[10 et +]
222;M;z_Highly Rural/ Rural;dev_integral;Pickup;Commercial;[60 et +];Non renseigné;Oui;Oui;[300_600];[10 et +]
223;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[25_40];[60k et +];Non;Non;[300_600];[0_5]
224;F;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[0_25];[60k et +];Oui;Non;[300_600];[5_10]
225;F;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[60 et +];[20k_40k];Non;Non;[300_600];[0_5]
226;M;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
227;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[20k_40k];Non;Non;[300_600];[5_10]
